name,status
Crystalsol,closed
JBI Fish & Wings,operating
COINPLUS,closed
Imagine Communications,closed
DNA13,closed
Quickfire Games,closed
Sente Inc.,operating
Triosyn,operating
Urgent.ly,operating
Map Decisions,closed
Omega Discovery Solutions,operating
Axiata,closed
Tripsuit,closed
Stratics Networks Inc,operating
LTG Exam Prep Platform,operating
Littlstar,operating
Aarki,operating
Awesome Maps,closed
Stroma Medical,closed
Solasta,closed
Storeness,operating
Bizpora,closed
LMC Diabetes & Endocrinology,operating
Montage Healthcare Solutions,closed
Farrago Comics,closed
Syrinix,closed
Talkway Communications,operating
Mollejuo,closed
Cymfony,operating
MIT Energy Initiative,operating
Lucent Health Solutions,operating
thesweetlink,operating
Boston Technologies,operating
Wavii,closed
"Dots ,LLC",operating
Xetawave,operating
Dental Corp,operating
Expway,closed
Avenger Networks,operating
Ginio.com,operating
Skyrobotic,operating
Sijibang.com,closed
Calolo,closed
Taggify,operating
Forterra Systems,operating
Get Satisfaction,operating
Mtone Wireless,operating
EZChip,operating
BioBots,closed
Adamant Energy,closed
Bunch,operating
Enevate,closed
GroundMetrics,operating
GammaSite,closed
MashON,operating
Native Networks,operating
Lucky Oyster,closed
The Backscratchers,operating
Eurekite,closed
Pundit Arena,operating
DashLuxe,closed
Festicket,operating
EAP Technology Systems,closed
siXis,operating
GoldSpot Media,closed
E la Carte,operating
Superior Global Solutions,closed
Nowsta,operating
Voalte,closed
icomasoft,closed
BTCjam,operating
Pangaea Resources,closed
BlogCN,closed
Diffinity Genomics,operating
KidStart,operating
DUFL,operating
IDRI (Infectious Disease Research Institute),closed
Splurgy,operating
beenz.com,operating
REVA Medical,operating
Indie Broadcast Network,closed
Accurence,operating
Minka,closed
Com2uS Corp.,closed
DYNAGENT SOFTWARE SL,closed
AWP Energy,operating
Xactly Corp,closed
FreshMonk,operating
Bandura,operating
alooma,closed
Xterprise Solutions,closed
Velomedix,closed
Hecare,closed
ParinGenix,operating
Chamelic,closed
Slipstream,operating
Peak 10,closed
Theatro,operating
BurstPoint Networks,closed
StepOne,operating
Metaome,closed
Astrobotic Technology,operating
FANCY CELLAR - 品庄酒,closed
Monitoring Division,operating
DataMotion,closed
Gumhouse,closed
Nookster,closed
Magzter,closed
Capital Esquire,closed
Mantis Deposition,closed
Immy,operating
Analyze,operating
Parodys Entertainment,operating
SynapticMash,operating
50 Partners,operating
GoAlbert,operating
Imitix,closed
TOBESOFT,closed
SoSocio,closed
Chicken Out Rotisserie,closed
Acacia Research,closed
OSG Records Management,operating
World Class Driving,operating
PocketMarket,operating
Connectbeam,operating
NA-KD.com - The next generation fashion marketplace,operating
My Study Rewards,closed
Cerevast Therapeutics,operating
Shoplins,closed
kibow,closed
Amatra SmartSource,closed
Apokalyyis,closed
HeartWare International,operating
Jobaline,closed
Searchwords Pty Ltd,operating
Scholar Rock,closed
Beyond the Box,operating
Silentium,closed
SYLOB,operating
Accedian Networks,closed
Emerging Threats,operating
Pulse Aerospace,closed
Alta Rail Technology,closed
Habitissimo,operating
Yaoota.com,closed
CloudDesk,operating
Bringhub,operating
Nimbus Concepts,closed
TalentIQ,closed
Square Yards,operating
RecordSled,operating
SP3H,operating
Zjdg.cn,operating
Graftec Electronics,closed
SymbioCellTech,closed
Royal Treatment Fly Fishing,operating
Love Warrior Wellness Collective,closed
Naubo,operating
Scripted.com,closed
mParticle,closed
Manitex International,closed
Genetics Squared,closed
SafeView,closed
Spinal USA,operating
Fondeadora,closed
The Preferred Prepaid,closed
"Nanovis, Inc.",operating
Royal Klasse Autos,closed
Wipebook,operating
AMT,closed
Pinrose,operating
GranData,operating
CommunitySift,operating
Longxun Changtian Technology,operating
SageFire,closed
NowPublic,closed
Antavo,operating
CloudCrowd,closed
ioBridge,operating
CDx Life,closed
sentitO Networks,closed
Stage 32,operating
Shopwings,closed
BiggiFi,operating
Onstream Media,closed
BoostSuite,operating
Desafío Táctico,operating
HERCAMOSHOP,operating
Offset Options,operating
Sharelook,closed
utoopia,operating
VGTI Florida,closed
AdmitHub,operating
BiometryCloud,operating
Arisoko,closed
"Woodenshark, LLC",closed
gShift,closed
Sojern,closed
Food Reporter,operating
Inocucor Technologies,operating
BuyMyTronics.com,closed
Free For Kids,closed
Quantum Group,closed
Brandsclub,operating
Nanya Technology Corporation,closed
Psydex,operating
Cubeit,closed
Ahometo,operating
CollabNet,closed
Cebix,closed
Hampton Creek,closed
uma information technology,closed
Househappy,closed
Chexology,closed
Qwiqq,closed
Eventus Systems,closed
Baton Rouge Homes,closed
Startupeando,closed
Sandy Bottom Drink,closed
Smart Load Solutions,closed
AppTweak.com,closed
MineralRightsWorldwide.com,closed
Compufirst,operating
ZAPITANO,operating
mobilePeople,operating
TeskaLabs,closed
Plenummedia,closed
GearTranslations,operating
Sunamp,closed
Netccm,closed
Cyrano Sciences,closed
Nemo,closed
UltraWood Products Company,operating
Verve Rehab,operating
Cookunity,operating
Vobile,operating
Profitably,operating
Rubysophic,closed
FireLayers,operating
NanoSteel,closed
Ge.tt,operating
Olygose,operating
Wantr,operating
Polyera,closed
Xquva,closed
HIPVILLA,operating
ShareRoot,closed
Mobile Pulse,closed
SKY MobileMedia,closed
make.tv,operating
Crude Area,operating
whodoyou,operating
ETI International,closed
PacketZoom,closed
Beer52,operating
Embrace Innovations,closed
Ripple TV,operating
Credit Sesame,closed
Open CS,operating
Jumpshot,closed
Athlete IQ,operating
NanoBio,closed
Carro,operating
Bizongo,closed
KnowledgeVision,operating
Camaloon,operating
Eyetel Imaging,closed
Little Riot,operating
Axceler,operating
Serenify,closed
Tailored Republic,closed
Epylon,operating
DOZ,operating
Skai,operating
Zapproved,operating
"BLUERIDGE Analytics, Inc.",operating
FreeStride Therapeutics,operating
Orderbook,operating
Guesthouse Network,closed
Smooch Labs Inc.,closed
Telesta Therapeutics,operating
FOREVERVOGUE.COM,operating
Target Business Capital,operating
Verticly,closed
Angaza,operating
AgilOne,closed
Centice,closed
SHEEX,closed
USMD,operating
Taia Global,closed
Action Audio Apps,closed
Silver Fox Events,closed
Respirics,closed
Semantics3,closed
M Squared Lasers,closed
neoSurgical,operating
Dishable,closed
Everest,operating
Bixti.com,closed
RAZ Mobile,operating
